timestamp,temperature,humidity
2023/6/21 11:04,32.3,71
2023/6/21 11:04,32.3,71
2023/6/21 11:04,32.3,71
2023/6/21 11:04,32.3,71
2023/6/21 11:05,33.3,84
2023/6/21 11:05,33.8,85
2023/6/21 11:05,33.8,85
2023/6/21 11:05,33.3,84
2023/6/21 11:05,33.3,83
2023/6/21 11:06,33.3,82
2023/6/21 11:06,33.3,81
2023/6/21 11:06,33.3,80
2023/6/21 11:06,33.3,78
2023/6/21 11:07,33.3,78
2023/6/22 23:17,32.8,74
2023/6/22 23:24,32.8,74
2023/6/22 23:24,32.8,74
2023/6/22 23:24,32.8,74
2023/6/22 23:24,32.8,74
2023/6/22 23:25,32.8,74
2023/6/22 23:25,33.3,83
2023/6/22 23:25,33.3,83
2023/6/22 23:25,33.3,82
2023/6/22 23:25,33.3,82
2023/6/22 23:26,33.3,82
2023/6/22 23:27,33.3,73
2023/6/22 23:27,33.3,73
2023/6/22 23:28,33.3,73
2023/6/22 23:28,33.3,73
2023/6/22 23:29,33.3,73
2023/6/22 23:29,33.3,73
2023/6/22 23:29,33.3,74
2023/6/22 23:30,33.3,74
2023/6/22 23:30,33.3,76
2023/6/22 23:30,33.3,79
2023/6/22 23:30,33.3,81
2023/6/22 23:30,33.3,82
2023/6/22 23:31,33.8,82
2023/6/22 23:31,33.8,83
2023/6/22 23:31,33.8,84
2023/6/22 23:31,33.8,85
2023/6/22 23:32,33.8,85
2023/6/22 23:32,33.3,73
2023/6/22 23:32,33.3,73
2023/6/22 23:32,33.3,73
2023/6/22 23:32,33.3,73
2023/6/22 23:33,33.3,73
2023/6/22 23:33,33.3,73
2023/6/22 23:33,33.3,73
2023/6/22 23:34,33.3,73
2023/6/22 23:34,33.3,73
2023/6/22 23:34,33.3,73
2023/6/22 23:34,33.3,73
2023/6/22 23:35,33.3,76
2023/6/22 23:35,33.3,75
2023/6/22 23:35,33.3,75
2023/6/22 23:36,33.3,75
2023/6/22 23:36,33.3,75
2023/6/22 23:36,33.3,73
2023/6/22 23:37,33.3,73
2023/6/22 23:37,33.3,74
2023/6/22 23:38,33.3,74
2023/6/22 23:38,33.3,74
2023/6/22 23:38,33.3,73
2023/6/22 23:39,33.3,75
2023/6/22 23:39,33.3,75
2023/6/22 23:39,33.3,75
2023/7/20 23:40,33.3,74
2023/7/20 23:40,33.3,74
2023/7/20 23:40,33.3,74
2023/7/20 23:40,33.3,74
